district,address,bathrooms_count,country,typology,exterior,floor,hasLift,municipality,neighborhood,newDevelopment,price,price_per_m2,propertyCode,propertyType,province,rooms_count,size_m2,status,avg_price_per_district,price_category,date
Retiro,calle de la Caridad,1,es,flat,true,3,true,Madrid,Pacífico,false,295000.0,8194.0,105293967,studio,Madrid,0,36.0,good,1033324.8743718592,low,2024-09-17
Centro,calle de la Paloma,2,es,flat,true,1,false,Madrid,Palacio,false,525000.0,4730.0,105295051,flat,Madrid,4,111.0,renew,769398.6464032421,low,2024-09-17
Moncloa,barrio Aravaca,3,es,chalet,,,,Madrid,Aravaca,false,1150000.0,4894.0,105295090,chalet,Madrid,5,235.0,good,1540750.6917562725,low,2024-09-17
Chamberí,calle de José Abascal,1,es,flat,true,2,true,Madrid,Nuevos Ministerios-Ríos Rosas,false,498500.0,6924.0,105295589,flat,Madrid,2,72.0,good,1240040.1756756757,low,2024-09-17
Barrio de Salamanca,calle de Alcalá,2,es,flat,true,4,true,Madrid,Goya,false,740000.0,8315.0,105297558,flat,Madrid,2,89.0,renew,1569158.038243626,low,2024-09-17
El Naranjo,plaza de la Coruña,1,es,flat,true,6,true,Fuenlabrada,,false,239900.0,2525.0,105298851,flat,Madrid,3,95.0,good,236116.66666666666,medium,2024-09-17
Tetuán,"calle Bravo Murillo, 335",1,es,flat,true,2,true,Madrid,Valdeacederas,true,361000.0,6446.0,105299737,studio,Madrid,0,56.0,newdevelopment,568637.182572614,low,2024-09-17
Tetuán,"calle Bravo Murillo, 335",1,es,flat,true,2,true,Madrid,Valdeacederas,true,356000.0,6034.0,105299739,studio,Madrid,0,59.0,newdevelopment,568637.182572614,low,2024-09-17
Tetuán,"calle Bravo Murillo, 335",1,es,flat,true,1,true,Madrid,Valdeacederas,true,392000.0,5851.0,105299746,studio,Madrid,0,67.0,newdevelopment,568637.182572614,low,2024-09-17
Retiro,barrio Niño Jesús,2,es,flat,true,8,true,Madrid,Niño Jesús,false,785000.0,5607.0,105300950,flat,Madrid,3,140.0,renew,1033324.8743718592,low,2024-09-17
Arganzuela,paseo de las Delicias,1,es,flat,false,4,true,Madrid,Delicias,false,279000.0,5471.0,105301102,flat,Madrid,2,51.0,good,457697.83419689117,low,2024-09-17
Vicálvaro,barrio Los Berrocales,1,es,flat,true,1,true,Madrid,Los Berrocales,true,179097.0,2239.0,105301167,flat,Madrid,2,80.0,newdevelopment,376080.66346153844,low,2024-09-17
Centro,ronda de Segovia,2,es,flat,true,2,true,Madrid,Palacio,false,570000.0,5278.0,105301918,flat,Madrid,3,108.0,good,769398.6464032421,low,2024-09-17
San Blas,calle de Hinojosa del Duque,2,es,flat,true,1,true,Madrid,Hellín,false,222000.0,1597.0,105302299,flat,Madrid,4,139.0,renew,493332.02898550726,low,2024-09-17
Retiro,calle de la Academia,2,es,flat,false,2,true,Madrid,Jerónimos,false,1200000.0,9677.0,105302585,flat,Madrid,2,124.0,good,1033324.8743718592,high,2024-09-17
Ciudad Lineal,barrio Colina,3,es,flat,true,2,true,Madrid,Colina,false,1290000.0,6028.0,105302939,flat,Madrid,5,214.0,good,584258.3493449781,high,2024-09-17
Retiro,calle de Mateo López,2,es,flat,true,4,true,Madrid,Estrella,false,750000.0,5952.0,105304743,flat,Madrid,3,126.0,good,1033324.8743718592,low,2024-09-17
Barrio de Salamanca,calle de Goya,3,es,flat,false,1,true,Madrid,Recoletos,false,1349000.0,11242.0,105304851,flat,Madrid,2,120.0,good,1569158.038243626,low,2024-09-17
La Moraleja urbanización,La Moraleja urbanización,4,es,chalet,,,,La Moraleja,,false,2890000.0,5088.0,105305766,chalet,Madrid,5,568.0,good,3082447.8260869565,medium,2024-09-17
Hortaleza,"avenida de Las Fuerzas Armadas, 328",1,es,flat,true,3,true,Madrid,Valdebebas - Valdefuentes,true,188800.0,8990.0,105310133,flat,Madrid,1,21.0,newdevelopment,1239664.2406015038,low,2024-09-17
Fuencarral,"calle Cerro Minguete, 86",3,es,chalet,,,,Madrid,Arroyo del Fresno,true,1170000.0,3535.0,105310424,chalet,Madrid,4,331.0,newdevelopment,1052016.2767857143,high,2024-09-17
